label	name	r	g	b
170	Area_Posterior_10p	61	153	38
171	Area_Posterior_47r	23	153	230
172	Area_TG_ventral	153	153	15
173	Medial_Belt_Complex	230	23	61
174	Lateral_Belt_Complex	15	195	153
175	Auditory_4_Complex	208	230	126
176	Area_STSv_Anterior	77	153	38
177	Area_TE1_Middle	23	195	230
178	Para-Insular_Area	153	61	15
179	Area_Anterior_32_Prime	230	92	101
180	Area_Posterior_24	15	82	153
